color,root,knocks,texture,navel,touch,quality
green,curly,loudly,distinct,sunk,smooth,good
black,curly,heavily,distinct,sunk,smooth,good
black,curly,loudly,distinct,sunk,smooth,good
green,curly,heavily,distinct,sunk,smooth,good
white,curly,loudly,distinct,sunk,smooth,good
green,little_curly,loudly,distinct,little_sunk,stick,good
black,little_curly,loudly,little_blur,little_sunk,stick,good
black,little_curly,loudly,distinct,little_sunk,smooth,good
black,little_curly,heavily,little_blur,little_sunk,smooth,bad
green,stiff,clearly,distinct,even,stick,bad
white,stiff,clearly,blur,even,smooth,bad
white,curly,loudly,blur,even,stick,bad
green,little_curly,loudly,little_blur,sunk,smooth,bad
white,little_curly,heavily,little_blur,sunk,smooth,bad
black,little_curly,loudly,distinct,little_sunk,stick,bad
white,curly,loudly,blur,even,smooth,bad
green,curly,heavily,little_blur,little_sunk,smooth,bad
